benchmark,domain,source_url,n_agents_estimated,n_tasks,data_shape,prep_complexity,notable_quirks
BigCodeBench (Full),code,https://huggingface.co/datasets/bigcode/bigcodebench-results,202,1140,HF parquet; per-model aggregate scores plus per-task generations on HF,MEDIUM,Aggregate parquet has 202 models; per-instance pass/fail requires re-running EvalPlus-style harness on released generations
BigCodeBench (Hard),code,https://huggingface.co/datasets/bigcode/bigcodebench-hard-results,150+,148,HF dataset; per-model results,MEDIUM,Hard subset is small enough to hit sample-size limits
LiveCodeBench,code,https://huggingface.co/livecodebench,80+,400-880,HF dataset code_generation_lite + GitHub submissions/ folder of model output,MEDIUM,Already in Plimsoll project; per-version task pool changes (v1 400 -> v5 880); requires re-running judge on submissions
SWE-bench Verified,agentic,https://github.com/swe-bench/experiments/tree/main/evaluation/verified,81,500,GitHub repo with per-submission per-instance report.json + patch.diff,MEDIUM,Already in Plimsoll project; one-time scrape of 81 submission folders; instance set = 500
SWE-bench Lite,agentic,https://github.com/swe-bench/experiments/tree/main/evaluation/lite,80,300,GitHub repo with per-submission per-instance report.json,MEDIUM,Same prep pattern as Verified; 300-task pool
SWE-bench Multilingual,agentic,https://github.com/swe-bench/experiments/tree/main/evaluation/multilingual,30+,300,GitHub repo per-submission report.json,MEDIUM,Newer split; submission count growing
SWE-bench Verified Mini (HAL),agentic,https://hal.cs.princeton.edu/swebench_verified_mini,33,50,Encrypted trace tarballs (hal-decrypt.sh) per agent-model entry,HIGH,Princeton HAL; 33 entries are 2 scaffolds x ~17 models; encryption gate adds friction
GAIA,agentic,https://hal.cs.princeton.edu/gaia,32,165 (or 466 full),Encrypted HAL traces per agent-model entry,HIGH,2 scaffolds x 17 models = 32 entries; per-question pass/fail recoverable post-decrypt; HF leaderboard space hides instance-level data
SciCode (HAL),agentic,https://hal.cs.princeton.edu/scicode,33,288,Encrypted HAL traces per agent-model entry,HIGH,33 entries; benchmark also has heatmap showing per-task pass-rate which may be enough without decrypt
CORE-Bench Hard,agentic,https://hal.cs.princeton.edu/corebench_hard,49,45,Encrypted HAL traces per agent-model entry,HIGH,49 entries (3 scaffolds x 27 models); small task pool
ScienceAgentBench,agentic,https://hal.cs.princeton.edu/scienceagentbench,23,102,Encrypted HAL traces per agent-model entry,HIGH,Below 30-agent floor; consider for pooled-domain analysis only
USACO (HAL),code,https://hal.cs.princeton.edu/usaco,13,307,Encrypted HAL traces per agent-model entry,HIGH,Below 30-agent floor; competitive programming
TAU-bench Airline,agentic,https://hal.cs.princeton.edu/taubench_airline,26,50,Encrypted HAL traces per agent-model entry,HIGH,Just below 30; tool-calling customer service
AssistantBench (HAL),agentic,https://hal.cs.princeton.edu/assistantbench,15,214,Encrypted HAL traces per agent-model entry,HIGH,Only one scaffold x 15 models; below floor; HF leaderboard space has more aggregate entries
Online Mind2Web (HAL),agentic,https://hal.cs.princeton.edu/online_mind2web,22,300,Encrypted HAL traces per agent-model entry,HIGH,Below 30-agent floor; HF Space also exposes a heatmap of task-by-agent success
Mind2Web (offline),agentic,https://huggingface.co/spaces/osunlp/Online_Mind2Web_Leaderboard,UNCERTAIN,300,HF Space heatmap (per-task per-agent success rendered in UI),MEDIUM,Heatmap data is in Space source; need to scrape content.py; may overlap with HAL Online Mind2Web
HELM Lite,multi-discipline-mc,https://crfm.stanford.edu/helm/lite/latest/,80+,~10000 across 10 scenarios,GCS bucket gs://crfm-helm-public/lite/benchmark_output (per-instance JSON predictions+stats),LOW,One prep pattern across 10 scenarios x 80+ models; PerInstanceStats objects already include score; biggest single-source yield after open-llm-leaderboard
HELM Classic,multi-discipline-mc,https://crfm.stanford.edu/helm/classic/latest/,60+,varies (16 scenarios),Same GCS pattern (gs://crfm-helm-public/<release>/benchmark_output),LOW,Older HELM run; lots of legacy scenarios (NarrativeQA NaturalQuestions etc)
MedHELM,domain-specific,https://crfm.stanford.edu/helm/medhelm/latest/,30+,many (incl MedQA MedMCQA scenarios),GCS pattern (medhelm/benchmark_output),LOW,~30 frontier models on Stanford CRFM run; per-instance JSON
MedQA (standalone),domain-specific,https://github.com/jind11/MedQA,UNCERTAIN,1273,Per-paper appendix tables; no central per-instance leaderboard,BLOCKED,Use MedHELM scenario instead
GAIA (HF Space),agentic,https://huggingface.co/spaces/gaia-benchmark/leaderboard,100+,165/466,HF Space aggregate-only; per-instance held private to prevent contamination,BLOCKED,Per-instance available only via HAL traces (encrypted) or private submissions
LiveBench,multi-discipline-mc,https://github.com/LiveBench/LiveBench,40+,~1000 (versioned),GitHub model_answer/ JSONL per-model + ground truth scripts,MEDIUM,All model answers public on GitHub; need to run judge to derive per-question pass/fail; 6 categories
RULER,other,https://github.com/NVIDIA/RULER,17,13 tasks x N context lengths,GitHub appendix tables; not standardized per-instance dump,MEDIUM,Paper reports 17 LCMs across grid; per-instance not in a single canonical file but reproducible from code
InfiniteBench,other,https://github.com/OpenBMB/InfiniteBench,UNCERTAIN,3946 across 12 tasks,GitHub README aggregate tables; no central per-instance public dataset,BLOCKED,Per-prompt outputs not centrally aggregated across models
MMMU (Val),multimodal,https://mmmu-benchmark.github.io/,62,900,HF dataset + per-paper submissions; no canonical per-instance per-model release,MEDIUM,Test set answers held back; Val (900 items) has answer key released so per-question pass/fail derivable from re-running on released model outputs (often available via VLMEvalKit)
ChartQA,multimodal,https://github.com/vis-nlp/ChartQA,UNCERTAIN,2500,Per-paper outputs scattered; no central per-question per-model leaderboard,BLOCKED,Aggregate-only; would need to scrape per-paper appendices
DocVQA,multimodal,https://rrc.cvc.uab.es/?ch=17,26+,5349 (val),RRC competition portal; per-submission JSON gated behind login,HIGH,Submission JSON exists per team but requires account+download; ANLS metric not strictly binary
HarmBench,safety,https://github.com/centerforaisafety/HarmBench,30+,400,GitHub results/ folder with per-attack per-model JSON of attack-success-rate,MEDIUM,Per-prompt jailbroken bool available; multiple attack methods x target-model matrix
JailbreakBench artifacts,safety,https://github.com/JailbreakBench/artifacts,15-25,100,GitHub JSON per (attack_method x target_model) with jailbroken bool per behavior,MEDIUM,Few unique target models; small task pool (100 behaviors); below 30-agent floor on most attack methods individually but combinable
AdvBench,safety,https://github.com/llm-attacks/llm-attacks,UNCERTAIN,520,Per-paper aggregate ASR; no central per-prompt per-model dump,BLOCKED,Use HarmBench or JailbreakBench instead
RealToxicityPrompts,safety,https://huggingface.co/datasets/allenai/real-toxicity-prompts,UNCERTAIN,100000,Per-paper continuations (25 per prompt); Perspective API scoring scattered,BLOCKED,No central per-model continuation dump; Perspective API access required to re-score
AILuminate,safety,https://ailuminate.mlcommons.org/,30+,12000 (private),Aggregate hazard grades only; private prompt set,BLOCKED,Per-prompt results private; only letter grades public
BIRD-SQL,domain-specific,https://bird-bench.github.io/,UNCERTAIN,1534 dev,Recent baseline outputs for ~6 frontier models in GitHub repo; broader leaderboard aggregate-only,BLOCKED,Below 30-agent floor for public per-instance; gold SQL withheld to prevent leakage; would need to email maintainers
Spider,domain-specific,https://yale-lily.github.io/spider,UNCERTAIN,1034 dev,Aggregate-only leaderboard; per-instance predictions not centrally collected,BLOCKED,Long-running benchmark with many submissions but per-prediction files scattered across team repos
SciCode (full),code,https://scicode-bench.github.io/leaderboard/,30+,288,Github submissions/ folder per model + leaderboard,MEDIUM,Same task pool as HAL SciCode; HAL traces overlap; may be merge-able
WebArena,agentic,https://github.com/web-arena-x/webarena,UNCERTAIN,812,Aggregate-only canonical leaderboard; AgentLab framework collects per-task,MEDIUM,Per-task data exists but scattered; no single canonical dump; agent count likely <30 with public per-instance
AgentBench,agentic,https://github.com/THUDM/AgentBench,UNCERTAIN,~3000 across 8 envs,GitHub aggregate tables; per-task scores embedded but not in clean per-instance JSONL,BLOCKED,Per-task pass/fail not exposed in clean format; would need custom scrape
METR HCAST / Time Horizon,agentic,https://github.com/METR/eval-analysis-public,48+,228 (TH 1.1) / 170 (TH 1.0),GitHub runs.jsonl with task_id alias score_binarized fields,LOW,Highest-quality per-instance agent dataset; clean schema with binarized scores; multiple seed reruns per agent-task
RE-Bench (METR),agentic,https://github.com/METR/eval-analysis-public,UNCERTAIN,~7,Embedded in METR runs.jsonl,MEDIUM,Very small task pool; included in METR Time Horizon analysis
AIME 2024,math,https://artificialanalysis.ai/evaluations/aime-2024,53,30,Aggregate-only leaderboards across multiple sites; no canonical per-problem per-model dump,BLOCKED,Tiny task pool (30 problems) hits sample-size cliff; per-problem results scattered in paper appendices
AIME 2025,math,https://artificialanalysis.ai/evaluations/aime-2025,108,30,Same as AIME 2024,BLOCKED,108 models on aggregate leaderboards but per-problem data not centralized
Big Code Models Leaderboard (HumanEval / MultiPL-E),code,https://huggingface.co/spaces/bigcode/bigcode-models-leaderboard,100+,164 x 18 langs,HF Space data/ folder + community_results JSON per model,MEDIUM,Per-model JSON has aggregate pass@1 per language; per-instance requires re-running on bigcode-evaluation-harness generations
